Question,Answer
Calculate the integral of 81x from 0 to 60.,145800
Solve for x in the equation x + 91 = 92.,1
"Find the median of 17, 87, and 70.",70
What is 80 times 45?,3600
"Find the median of 31, 79, and 92.",79
"Find the median of 53, 98, and 77.",77
A bag contains 53 red and 60 blue balls. What is the probability of drawing a red ball?,46.9%
What is 50 minus 66?,-16
What is the probability of rolling a die and getting a number greater than 89?,-1383.33%
Solve for x in the equation x + 16 = 52.,36
A bag contains 12 red and 27 blue balls. What is the probability of drawing a red ball?,30.77%
What is the solution for x in the equation 2x - 90 = 5?,47
What is the probability of rolling a die and getting a number greater than 31?,-416.67%
What is the probability of rolling a die and getting a number greater than 23?,-283.33%
What is the probability of rolling a die and getting a number greater than 41?,-583.33%
What is 95 minus 2?,93
What is 66 divided by 96?,0
What is the area of a circle with radius 71?,15828.74
What is the area of a circle with radius 55?,9498.5
What is 11 plus 31?,42
What is the area of a rectangle with width 14 and height 28?,392
"Calculate the average of the numbers 48, 44, and 22.",38
What is 16 divided by 78?,0
What is 25 divided by 6?,4
Solve for x in the equation x + 49 = 90.,41
Calculate the integral of 3x from 0 to 60.,5400
What is 3 divided by 83?,0
Find the derivative of 61x^2 at x = 84.,10248
What is the area of a circle with radius 20?,1256.0
What is the perimeter of a square with side length 6?,24
Solve for x in the equation x + 78 = 54.,-24
Find the derivative of 43x^2 at x = 16.,1376
What is 24 divided by 56?,0
What is 59 plus 69?,128
"Find the median of 73, 71, and 20.",71
What is the solution for x in the equation 2x - 91 = 40?,65
What is the probability of rolling a die and getting a number greater than 41?,-583.33%
What is the solution for x in the equation 2x - 86 = 93?,89
What is 10 plus 2?,12
"Find the median of 57, 50, and 15.",50
What is the perimeter of a square with side length 19?,76
What is 72 times 82?,5904
What is the probability of rolling a die and getting a number greater than 90?,-1400.0%
Find the derivative of 83x^2 at x = 72.,11952
What is the solution for x in the equation 2x - 100 = 59?,79
What is 19 minus 80?,-61
Solve for x in the equation x + 72 = 32.,-40
What is 40 divided by 31?,1
Calculate the integral of 95x from 0 to 81.,311647
Calculate the integral of 95x from 0 to 4.,760
Find the derivative of 28x^2 at x = 11.,616
What is the perimeter of a square with side length 16?,64
What is the probability of rolling a die and getting a number greater than 57?,-850.0%
What is the probability of rolling a die and getting a number greater than 39?,-550.0%
"Find the median of 95, 34, and 35.",35
What is the solution for x in the equation 2x - 62 = 21?,41
What is 7 minus 28?,-21
A bag contains 94 red and 23 blue balls. What is the probability of drawing a red ball?,80.34%
What is 22 minus 39?,-17
Find the derivative of 70x^2 at x = 50.,7000
What is the perimeter of a square with side length 67?,268
What is 38 plus 62?,100
What is the perimeter of a square with side length 69?,276
What is 60 plus 39?,99
What is 62 plus 92?,154
What is 36 divided by 36?,1
"Find the median of 1, 97, and 48.",48
What is the perimeter of a square with side length 92?,368
A bag contains 43 red and 78 blue balls. What is the probability of drawing a red ball?,35.54%
What is 30 times 74?,2220
What is the area of a circle with radius 53?,8820.26
What is the solution for x in the equation 2x - 86 = 8?,47
What is the probability of rolling a die and getting a number greater than 5?,16.67%
Calculate the integral of 88x from 0 to 75.,247500
What is 83 times 9?,747
Solve for x in the equation x + 24 = 61.,37
"Calculate the average of the numbers 51, 8, and 11.",23
What is 34 divided by 35?,0
What is the solution for x in the equation 2x - 9 = 15?,12
Solve for x in the equation x + 22 = 45.,23
What is the probability of rolling a die and getting a number greater than 57?,-850.0%
What is the perimeter of a square with side length 91?,364
"Find the median of 8, 14, and 51.",14
What is the perimeter of a square with side length 96?,384
What is the perimeter of a square with side length 66?,264
"Calculate the average of the numbers 10, 18, and 18.",15
A bag contains 72 red and 87 blue balls. What is the probability of drawing a red ball?,45.28%
Calculate the integral of 73x from 0 to 61.,135816
What is 97 plus 61?,158
A bag contains 79 red and 90 blue balls. What is the probability of drawing a red ball?,46.75%
Calculate the integral of 27x from 0 to 100.,135000
Find the derivative of 49x^2 at x = 34.,3332
Find the derivative of 91x^2 at x = 5.,910
"Calculate the average of the numbers 45, 26, and 64.",45
What is the area of a circle with radius 24?,1808.64
What is 50 divided by 37?,1
What is the probability of rolling a die and getting a number greater than 28?,-366.67%
What is the area of a circle with radius 39?,4775.94
"Calculate the average of the numbers 17, 83, and 72.",57
What is 22 plus 32?,54
What is 75 minus 81?,-6
What is 61 times 36?,2196
"Find the median of 19, 46, and 71.",46
What is 92 plus 31?,123
What is the perimeter of a square with side length 79?,316
"Calculate the average of the numbers 29, 19, and 57.",35
Find the derivative of 95x^2 at x = 64.,12160
What is 23 times 43?,989
A bag contains 22 red and 19 blue balls. What is the probability of drawing a red ball?,53.66%
What is the solution for x in the equation 2x - 15 = 46?,30
Find the derivative of 86x^2 at x = 6.,1032
What is the perimeter of a square with side length 13?,52
Calculate the integral of 63x from 0 to 94.,278334
What is the area of a rectangle with width 96 and height 63?,6048
What is the perimeter of a square with side length 84?,336
Find the derivative of 43x^2 at x = 1.,86
What is the area of a circle with radius 70?,15386.0
Calculate the integral of 70x from 0 to 11.,4235
Calculate the integral of 9x from 0 to 12.,648
What is 10 divided by 90?,0
What is the area of a circle with radius 41?,5278.34
What is the perimeter of a square with side length 53?,212
What is the area of a rectangle with width 40 and height 74?,2960
What is the area of a rectangle with width 83 and height 5?,415
What is the solution for x in the equation 2x - 14 = 88?,51
Solve for x in the equation x + 24 = 9.,-15
What is the probability of rolling a die and getting a number greater than 21?,-250.0%
What is 64 divided by 52?,1
Calculate the integral of 47x from 0 to 49.,56423
What is the area of a rectangle with width 50 and height 99?,4950
Solve for x in the equation x + 27 = 89.,62
Calculate the integral of 1x from 0 to 33.,544
What is the area of a circle with radius 100?,31400.0
"Calculate the average of the numbers 90, 71, and 92.",84
What is the area of a rectangle with width 85 and height 98?,8330
Find the derivative of 48x^2 at x = 5.,480
What is the probability of rolling a die and getting a number greater than 14?,-133.33%
A bag contains 13 red and 15 blue balls. What is the probability of drawing a red ball?,46.43%
What is 14 plus 37?,51
What is the solution for x in the equation 2x - 89 = 15?,52
What is the solution for x in the equation 2x - 82 = 10?,46
What is the probability of rolling a die and getting a number greater than 16?,-166.67%
What is the perimeter of a square with side length 86?,344
Find the derivative of 10x^2 at x = 73.,1460
Find the derivative of 97x^2 at x = 40.,7760
What is 35 divided by 50?,0
"Find the median of 17, 7, and 51.",17
What is the area of a rectangle with width 80 and height 77?,6160
What is the area of a rectangle with width 25 and height 92?,2300
What is 30 divided by 35?,0
What is 63 plus 38?,101
A bag contains 60 red and 67 blue balls. What is the probability of drawing a red ball?,47.24%
Find the derivative of 83x^2 at x = 38.,6308
What is 49 times 19?,931
Find the derivative of 25x^2 at x = 97.,4850
What is the solution for x in the equation 2x - 32 = 40?,36
What is 59 times 81?,4779
Solve for x in the equation x + 44 = 93.,49
Calculate the integral of 56x from 0 to 36.,36288
What is the area of a rectangle with width 45 and height 19?,855
Solve for x in the equation x + 37 = 1.,-36
What is the probability of rolling a die and getting a number greater than 96?,-1500.0%
What is the probability of rolling a die and getting a number greater than 13?,-116.67%
What is 75 minus 73?,2
What is the area of a circle with radius 24?,1808.64
Calculate the integral of 70x from 0 to 37.,47915
What is the perimeter of a square with side length 47?,188
What is the area of a rectangle with width 47 and height 49?,2303
Find the derivative of 70x^2 at x = 45.,6300
What is 73 times 86?,6278
What is 77 times 92?,7084
What is 34 times 98?,3332
"Find the median of 1, 7, and 63.",7
What is the area of a rectangle with width 65 and height 30?,1950
A bag contains 91 red and 8 blue balls. What is the probability of drawing a red ball?,91.92%
A bag contains 7 red and 70 blue balls. What is the probability of drawing a red ball?,9.09%
What is 66 minus 52?,14
What is 55 divided by 73?,0
Find the derivative of 35x^2 at x = 86.,6020
"Find the median of 75, 16, and 69.",69
What is 82 divided by 31?,2
What is the area of a circle with radius 81?,20601.54
What is the probability of rolling a die and getting a number greater than 21?,-250.0%
What is 27 divided by 58?,0
What is 69 times 46?,3174
What is the probability of rolling a die and getting a number greater than 71?,-1083.33%
What is the perimeter of a square with side length 30?,120
What is the solution for x in the equation 2x - 43 = 93?,68
What is the area of a circle with radius 30?,2826.0
Calculate the integral of 87x from 0 to 87.,329251
What is 97 minus 95?,2
What is 13 divided by 54?,0
Calculate the integral of 92x from 0 to 31.,44206
A bag contains 39 red and 1 blue balls. What is the probability of drawing a red ball?,97.5%
What is the probability of rolling a die and getting a number greater than 6?,0.0%
What is 71 plus 59?,130
"Find the median of 83, 45, and 51.",51
What is the perimeter of a square with side length 56?,224
What is the solution for x in the equation 2x - 46 = 77?,61
What is the area of a circle with radius 26?,2122.64
What is 76 minus 64?,12
"Calculate the average of the numbers 64, 60, and 71.",65
A bag contains 53 red and 99 blue balls. What is the probability of drawing a red ball?,34.87%
What is 64 divided by 76?,0
Solve for x in the equation x + 75 = 65.,-10
What is 92 plus 20?,112
Find the derivative of 77x^2 at x = 70.,10780
What is 80 minus 78?,2
A bag contains 39 red and 55 blue balls. What is the probability of drawing a red ball?,41.49%
What is the area of a circle with radius 56?,9847.04
A bag contains 32 red and 37 blue balls. What is the probability of drawing a red ball?,46.38%
What is the probability of rolling a die and getting a number greater than 70?,-1066.67%
What is the area of a circle with radius 46?,6644.24
What is the area of a circle with radius 62?,12070.16
Solve for x in the equation x + 13 = 89.,76
Solve for x in the equation x + 7 = 21.,14
What is the area of a rectangle with width 90 and height 31?,2790
"Find the median of 33, 6, and 79.",33
What is 83 minus 97?,-14
Find the derivative of 93x^2 at x = 63.,11718
What is 12 minus 53?,-41
Solve for x in the equation x + 80 = 80.,0
What is 6 plus 36?,42
What is the perimeter of a square with side length 26?,104
A bag contains 76 red and 34 blue balls. What is the probability of drawing a red ball?,69.09%
What is the area of a rectangle with width 28 and height 93?,2604
What is 7 times 68?,476
Solve for x in the equation x + 4 = 56.,52
"Find the median of 1, 93, and 70.",70
A bag contains 100 red and 12 blue balls. What is the probability of drawing a red ball?,89.29%
What is the solution for x in the equation 2x - 5 = 46?,25
What is 37 plus 79?,116
What is 46 times 18?,828
What is 50 plus 37?,87
What is 37 times 61?,2257
What is the perimeter of a square with side length 2?,8
What is 54 divided by 10?,5
What is 94 divided by 67?,1
Calculate the integral of 26x from 0 to 89.,102973
Calculate the integral of 23x from 0 to 72.,59616
"Calculate the average of the numbers 81, 53, and 96.",76
What is the probability of rolling a die and getting a number greater than 33?,-450.0%
What is 73 divided by 48?,1
"Find the median of 15, 58, and 18.",18
Calculate the integral of 63x from 0 to 93.,272443
What is the probability of rolling a die and getting a number greater than 53?,-783.33%
Solve for x in the equation x + 90 = 46.,-44
Find the derivative of 100x^2 at x = 92.,18400
Solve for x in the equation x + 16 = 97.,81
"Calculate the average of the numbers 38, 65, and 43.",48
What is the probability of rolling a die and getting a number greater than 53?,-783.33%
What is the probability of rolling a die and getting a number greater than 90?,-1400.0%
What is the perimeter of a square with side length 14?,56
What is 90 plus 80?,170
A bag contains 90 red and 52 blue balls. What is the probability of drawing a red ball?,63.38%
What is the area of a circle with radius 38?,4534.16
What is the solution for x in the equation 2x - 41 = 40?,40
Find the derivative of 7x^2 at x = 21.,294
What is the perimeter of a square with side length 80?,320
What is 56 times 31?,1736
What is the area of a circle with radius 33?,3419.46
Calculate the integral of 93x from 0 to 93.,402178
What is 5 divided by 6?,0
"Find the median of 40, 69, and 86.",69
A bag contains 71 red and 15 blue balls. What is the probability of drawing a red ball?,82.56%
"Calculate the average of the numbers 96, 66, and 63.",75
What is 58 divided by 54?,1
What is the perimeter of a square with side length 32?,128
Calculate the integral of 24x from 0 to 12.,1728
"Find the median of 76, 27, and 15.",27
Calculate the integral of 17x from 0 to 73.,45296
"Calculate the average of the numbers 5, 66, and 85.",52
What is 31 plus 9?,40
"Calculate the average of the numbers 24, 3, and 62.",29
A bag contains 61 red and 20 blue balls. What is the probability of drawing a red ball?,75.31%
What is 1 minus 49?,-48
What is 49 plus 44?,93
Solve for x in the equation x + 97 = 62.,-35
Calculate the integral of 20x from 0 to 93.,86490
What is the probability of rolling a die and getting a number greater than 32?,-433.33%
What is 43 divided by 77?,0
What is the perimeter of a square with side length 9?,36
What is 95 plus 53?,148
What is the area of a rectangle with width 22 and height 15?,330
"Find the median of 47, 64, and 44.",47
A bag contains 9 red and 16 blue balls. What is the probability of drawing a red ball?,36.0%
Find the derivative of 8x^2 at x = 58.,928
What is the solution for x in the equation 2x - 25 = 54?,39
What is the probability of rolling a die and getting a number greater than 8?,-33.33%
What is the area of a circle with radius 69?,14949.54
A bag contains 31 red and 40 blue balls. What is the probability of drawing a red ball?,43.66%
What is the perimeter of a square with side length 21?,84
What is the solution for x in the equation 2x - 45 = 20?,32
What is the perimeter of a square with side length 92?,368
What is the solution for x in the equation 2x - 67 = 15?,41
A bag contains 5 red and 17 blue balls. What is the probability of drawing a red ball?,22.73%
What is the perimeter of a square with side length 31?,124
What is 8 divided by 100?,0
What is 57 minus 25?,32
What is the area of a circle with radius 93?,27157.86
Calculate the integral of 99x from 0 to 36.,64152
Solve for x in the equation x + 22 = 100.,78
What is 43 divided by 1?,43
What is 28 minus 81?,-53
What is 26 times 49?,1274
Solve for x in the equation x + 54 = 45.,-9
What is the area of a rectangle with width 83 and height 77?,6391
"Calculate the average of the numbers 87, 79, and 79.",81
What is the probability of rolling a die and getting a number greater than 1?,83.33%
"Calculate the average of the numbers 60, 3, and 97.",53
Find the derivative of 33x^2 at x = 63.,4158
What is 29 divided by 52?,0
What is 80 plus 5?,85
What is the solution for x in the equation 2x - 90 = 50?,70
"Find the median of 23, 61, and 13.",23
What is the area of a rectangle with width 25 and height 52?,1300
"Calculate the average of the numbers 96, 18, and 61.",58
What is 96 minus 98?,-2
What is the area of a circle with radius 9?,254.34
What is 12 times 18?,216
What is 57 divided by 66?,0
Find the derivative of 96x^2 at x = 81.,15552
Find the derivative of 49x^2 at x = 93.,9114
"Find the median of 96, 10, and 46.",46
A bag contains 43 red and 89 blue balls. What is the probability of drawing a red ball?,32.58%
What is the solution for x in the equation 2x - 99 = 33?,66
Calculate the integral of 12x from 0 to 67.,26934
Find the derivative of 59x^2 at x = 15.,1770
What is 87 times 17?,1479
What is 58 divided by 68?,0
What is the area of a rectangle with width 73 and height 7?,511
What is 21 divided by 52?,0
What is the area of a rectangle with width 57 and height 99?,5643
What is the probability of rolling a die and getting a number greater than 92?,-1433.33%
What is the area of a circle with radius 88?,24316.16
What is the solution for x in the equation 2x - 43 = 93?,68
What is the solution for x in the equation 2x - 62 = 23?,42
What is 93 minus 93?,0
Solve for x in the equation x + 15 = 79.,64
What is 49 times 34?,1666
What is the solution for x in the equation 2x - 61 = 2?,31
What is 55 plus 22?,77
What is 99 plus 35?,134
What is 13 minus 60?,-47
What is 39 plus 22?,61
What is the solution for x in the equation 2x - 33 = 77?,55
"Calculate the average of the numbers 78, 66, and 11.",51
Calculate the integral of 2x from 0 to 49.,2401
What is 23 plus 51?,74
What is the probability of rolling a die and getting a number greater than 32?,-433.33%
What is the area of a rectangle with width 84 and height 88?,7392
Find the derivative of 50x^2 at x = 32.,3200
What is the area of a circle with radius 54?,9156.24
"Find the median of 86, 63, and 7.",63
"Calculate the average of the numbers 78, 42, and 7.",42
What is the solution for x in the equation 2x - 26 = 78?,52
Calculate the integral of 76x from 0 to 62.,146072
Solve for x in the equation x + 83 = 4.,-79
"Find the median of 78, 16, and 74.",74
"Find the median of 56, 32, and 22.",32
Calculate the integral of 70x from 0 to 59.,121835
Solve for x in the equation x + 72 = 15.,-57
What is 31 times 6?,186
What is the probability of rolling a die and getting a number greater than 20?,-233.33%
What is 64 minus 17?,47
What is the probability of rolling a die and getting a number greater than 24?,-300.0%
What is the solution for x in the equation 2x - 22 = 98?,60
A bag contains 40 red and 22 blue balls. What is the probability of drawing a red ball?,64.52%
"Find the median of 7, 85, and 32.",32
What is the area of a rectangle with width 69 and height 1?,69
What is the area of a rectangle with width 88 and height 76?,6688
What is 44 divided by 91?,0
"Find the median of 70, 55, and 31.",55
What is the area of a rectangle with width 16 and height 81?,1296
"Calculate the average of the numbers 4, 13, and 12.",9
What is the area of a rectangle with width 63 and height 69?,4347
What is the area of a rectangle with width 94 and height 57?,5358
"Calculate the average of the numbers 3, 51, and 12.",22
Calculate the integral of 81x from 0 to 40.,64800
Find the derivative of 44x^2 at x = 70.,6160
What is the perimeter of a square with side length 75?,300
What is 56 times 90?,5040
What is 40 times 20?,800
What is 39 plus 3?,42
"Calculate the average of the numbers 30, 94, and 93.",72
What is the solution for x in the equation 2x - 3 = 17?,10
Solve for x in the equation x + 16 = 52.,36
What is the probability of rolling a die and getting a number greater than 24?,-300.0%
What is the perimeter of a square with side length 85?,340
What is 49 plus 6?,55
What is the solution for x in the equation 2x - 71 = 74?,72
What is 36 times 8?,288
What is the perimeter of a square with side length 34?,136
"Calculate the average of the numbers 16, 98, and 11.",41
A bag contains 70 red and 50 blue balls. What is the probability of drawing a red ball?,58.33%
A bag contains 72 red and 72 blue balls. What is the probability of drawing a red ball?,50.0%
A bag contains 29 red and 71 blue balls. What is the probability of drawing a red ball?,29.0%
What is the area of a circle with radius 11?,379.94
A bag contains 52 red and 37 blue balls. What is the probability of drawing a red ball?,58.43%
What is the probability of rolling a die and getting a number greater than 63?,-950.0%
What is the probability of rolling a die and getting a number greater than 59?,-883.33%
Find the derivative of 53x^2 at x = 7.,742
What is the probability of rolling a die and getting a number greater than 77?,-1183.33%
A bag contains 79 red and 37 blue balls. What is the probability of drawing a red ball?,68.1%
"Find the median of 75, 100, and 58.",75
"Calculate the average of the numbers 71, 79, and 68.",72
What is the area of a rectangle with width 97 and height 43?,4171
Calculate the integral of 98x from 0 to 30.,44100
Calculate the integral of 26x from 0 to 39.,19773
What is 74 divided by 62?,1
What is 75 divided by 57?,1
A bag contains 59 red and 41 blue balls. What is the probability of drawing a red ball?,59.0%
What is the area of a circle with radius 55?,9498.5
What is the probability of rolling a die and getting a number greater than 56?,-833.33%
What is the area of a rectangle with width 6 and height 9?,54
What is 16 plus 29?,45
A bag contains 67 red and 45 blue balls. What is the probability of drawing a red ball?,59.82%
"Calculate the average of the numbers 93, 26, and 4.",41
Find the derivative of 57x^2 at x = 77.,8778
What is the area of a rectangle with width 25 and height 84?,2100
"Calculate the average of the numbers 23, 51, and 3.",25
What is the area of a circle with radius 79?,19596.74
Calculate the integral of 3x from 0 to 82.,10086
"Calculate the average of the numbers 41, 26, and 82.",49
What is the probability of rolling a die and getting a number greater than 38?,-533.33%
"Calculate the average of the numbers 40, 40, and 67.",49
What is 14 plus 88?,102
A bag contains 1 red and 94 blue balls. What is the probability of drawing a red ball?,1.05%
What is the area of a circle with radius 83?,21631.46
What is the perimeter of a square with side length 59?,236
"Find the median of 64, 3, and 64.",64
What is 66 minus 34?,32
What is the probability of rolling a die and getting a number greater than 3?,50.0%
What is the solution for x in the equation 2x - 82 = 20?,51
What is 88 times 76?,6688
"Calculate the average of the numbers 76, 12, and 20.",36
A bag contains 26 red and 92 blue balls. What is the probability of drawing a red ball?,22.03%
What is 82 minus 54?,28
What is 67 plus 13?,80
What is 80 divided by 33?,2
"Find the median of 42, 17, and 90.",42
Calculate the integral of 13x from 0 to 42.,11466
Calculate the integral of 56x from 0 to 42.,49392
"Find the median of 71, 41, and 7.",41
What is the probability of rolling a die and getting a number greater than 51?,-750.0%
What is the solution for x in the equation 2x - 92 = 20?,56
What is the probability of rolling a die and getting a number greater than 34?,-466.67%
What is the area of a circle with radius 4?,50.24
What is 48 minus 38?,10
Calculate the integral of 55x from 0 to 77.,163047
What is the perimeter of a square with side length 42?,168
What is 30 divided by 69?,0
What is the area of a rectangle with width 1 and height 42?,42
Solve for x in the equation x + 93 = 100.,7
What is 25 plus 79?,104
Find the derivative of 94x^2 at x = 30.,5640
What is the area of a rectangle with width 20 and height 68?,1360
What is 65 plus 79?,144
"Calculate the average of the numbers 83, 50, and 16.",49
What is 54 times 95?,5130
What is the solution for x in the equation 2x - 93 = 17?,55
What is the area of a circle with radius 72?,16277.76
What is 91 plus 32?,123
What is the area of a circle with radius 8?,200.96
"Calculate the average of the numbers 28, 38, and 49.",38
What is 24 minus 33?,-9
What is the solution for x in the equation 2x - 3 = 77?,40
Calculate the integral of 35x from 0 to 78.,106470
What is the area of a circle with radius 55?,9498.5
"Find the median of 47, 50, and 45.",47
What is 62 times 79?,4898
What is 90 divided by 82?,1
"Find the median of 1, 4, and 28.",4
What is the area of a rectangle with width 11 and height 42?,462
What is the area of a circle with radius 76?,18136.64
Calculate the integral of 9x from 0 to 8.,288
What is 44 minus 73?,-29
Find the derivative of 63x^2 at x = 22.,2772
What is 21 divided by 50?,0
"Find the median of 85, 44, and 39.",44
What is the area of a rectangle with width 35 and height 36?,1260
"Calculate the average of the numbers 69, 61, and 60.",63
What is the area of a rectangle with width 5 and height 43?,215
What is 56 times 17?,952
What is 38 plus 81?,119
"Calculate the average of the numbers 89, 11, and 56.",52
What is 9 times 80?,720
What is the perimeter of a square with side length 47?,188
What is the area of a rectangle with width 85 and height 83?,7055
Find the derivative of 78x^2 at x = 42.,6552
Solve for x in the equation x + 66 = 84.,18
What is 85 plus 20?,105
"Find the median of 50, 89, and 67.",67
What is 86 plus 67?,153
What is the probability of rolling a die and getting a number greater than 87?,-1350.0%
What is the area of a circle with radius 88?,24316.16
Solve for x in the equation x + 31 = 80.,49
"Find the median of 85, 86, and 52.",85
Solve for x in the equation x + 23 = 99.,76
"Calculate the average of the numbers 97, 59, and 15.",57
What is the probability of rolling a die and getting a number greater than 85?,-1316.67%
What is 86 minus 72?,14
What is 42 divided by 78?,0
What is 41 times 98?,4018
Solve for x in the equation x + 76 = 46.,-30
What is 68 times 45?,3060
Calculate the integral of 3x from 0 to 42.,2646
What is the perimeter of a square with side length 8?,32
What is 42 plus 83?,125
What is the perimeter of a square with side length 49?,196
What is the probability of rolling a die and getting a number greater than 45?,-650.0%
What is the perimeter of a square with side length 41?,164
What is the solution for x in the equation 2x - 11 = 22?,16
What is the perimeter of a square with side length 19?,76
What is 21 times 40?,840
What is the solution for x in the equation 2x - 37 = 45?,41
What is the solution for x in the equation 2x - 39 = 85?,62
"Calculate the average of the numbers 63, 90, and 79.",77
"Calculate the average of the numbers 16, 72, and 84.",57
What is 3 times 77?,231
What is the area of a circle with radius 61?,11683.94
What is 95 plus 68?,163
What is the area of a circle with radius 28?,2461.76
Solve for x in the equation x + 58 = 58.,0
Calculate the integral of 100x from 0 to 69.,238050
Find the derivative of 90x^2 at x = 67.,12060
What is 1 times 92?,92
What is the area of a circle with radius 83?,21631.46
What is the perimeter of a square with side length 63?,252
"Find the median of 59, 92, and 17.",59
What is the solution for x in the equation 2x - 5 = 75?,40
What is the solution for x in the equation 2x - 89 = 47?,68
Calculate the integral of 97x from 0 to 61.,180468
What is 88 minus 46?,42
What is the area of a rectangle with width 81 and height 65?,5265
What is 45 plus 70?,115
What is the area of a circle with radius 58?,10562.96
What is the perimeter of a square with side length 56?,224
Solve for x in the equation x + 70 = 63.,-7
What is 90 times 98?,8820
What is 39 times 44?,1716
Find the derivative of 34x^2 at x = 37.,2516
What is the area of a rectangle with width 31 and height 43?,1333
"Find the median of 79, 68, and 86.",79
What is the area of a rectangle with width 64 and height 79?,5056
Find the derivative of 59x^2 at x = 89.,10502
What is 19 plus 22?,41
"Calculate the average of the numbers 64, 30, and 23.",39
Solve for x in the equation x + 51 = 32.,-19
What is 89 minus 86?,3
What is 92 minus 4?,88
What is 24 times 9?,216
Solve for x in the equation x + 17 = 92.,75
"Calculate the average of the numbers 14, 59, and 99.",57
What is 4 times 32?,128
What is 34 times 75?,2550
What is 41 minus 75?,-34
Find the derivative of 75x^2 at x = 22.,3300
What is 100 divided by 98?,1
What is 36 minus 33?,3
What is 85 times 4?,340
What is 63 divided by 13?,4
Solve for x in the equation x + 40 = 99.,59
"Find the median of 24, 25, and 94.",25
What is the area of a circle with radius 50?,7850.0
What is the solution for x in the equation 2x - 37 = 39?,38
"Find the median of 91, 6, and 90.",90
What is 83 divided by 17?,4
What is the area of a rectangle with width 22 and height 5?,110
What is the perimeter of a square with side length 42?,168
What is 87 times 65?,5655
What is the perimeter of a square with side length 38?,152
What is 85 plus 97?,182
What is the area of a circle with radius 2?,12.56
"Calculate the average of the numbers 51, 21, and 74.",48
What is 100 divided by 87?,1
"Find the median of 82, 43, and 45.",45
What is the probability of rolling a die and getting a number greater than 13?,-116.67%
What is the solution for x in the equation 2x - 24 = 87?,55
"Calculate the average of the numbers 8, 46, and 55.",36
What is the solution for x in the equation 2x - 66 = 19?,42
What is the solution for x in the equation 2x - 38 = 44?,41
Calculate the integral of 5x from 0 to 51.,6502
What is the probability of rolling a die and getting a number greater than 86?,-1333.33%
What is 7 divided by 62?,0
What is the area of a rectangle with width 46 and height 46?,2116
Calculate the integral of 15x from 0 to 46.,15870
What is the area of a rectangle with width 69 and height 27?,1863
"Find the median of 2, 57, and 81.",57
What is 87 minus 49?,38
What is the area of a circle with radius 47?,6936.26
What is the solution for x in the equation 2x - 73 = 15?,44
What is 83 minus 91?,-8
